#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
EC:4.1.1.82	64.4916380238369	50.5606699984465	5.49580671088998	46.7192404196387
EC:4.1.1.83	137.325800828859	2.4675278161434E-54	0	6.11591086203852
EC:4.1.1.85	2196.99745424006	2348.15784117877	2534.0976522715	2386.65429948356
EC:4.1.1.86	66.3072210947613	1329.38353080648	492.395353777019	1657.59838333602
EC:4.1.1.87	132.56	2617.35332400771	1141.10736186157	3333.5262970442
EC:4.1.1.9	0	1.1587648108107E-49	68	67.95
EC:4.1.1.94	0	1.60004541931864E-53	0	2.29279145687619E-53
EC:4.1.1.95	0	4.52981355733464E-58	0	6.49101438003023E-58
EC:4.1.1.96	11603.1342845531	13930.3293816535	13110.6543340786	11795.1090513322
EC:4.1.1.97	0	17.3252149592895	610.744261144489	1148.56623578531
EC:4.1.1.98	20661.8983001692	25395.8879174003	23534.9473831053	22138.2535296339
EC:4.1.1.99	0	2.49331380595045E-56	0	3.57280394954602E-56
EC:4.1.2.13	15719.7136133022	17347.2290044352	16489.734468517	17916.1446275339
EC:4.1.2.14	20719.5171509286	24769.8170664987	23790.1430371951	23158.2571144996
EC:4.1.2.17	8339.77261430532	8714.96307860086	9284.35077847562	10476.3892037796
EC:4.1.2.19	182.143745620697	302.574490425186	7.36948657763036	358.4966156515
EC:4.1.2.20	94.3453359866178	17.5889788287322	0.032563493772069	435.774197272642
EC:4.1.2.21	3404.98	3507.60939375021	3870.14	3455.86128586921
EC:4.1.2.22	80.2891745311925	294.171948890799	7.47284607758585	0.040966634905394
EC:4.1.2.25	10163.8302795411	11753.8147989181	11975.9265504036	11786.157578901
EC:4.1.2.29	0	9.41597135507515E-56	0.28241789469218	1.34926536587321E-55
EC:4.1.2.34	0	4.37965927514554E-57	0	6.27585020327634E-57
EC:4.1.2.4	19019.716692201	20160.2799725187	21062.8913361996	19585.7186376531
EC:4.1.2.40	16189.7585016344	17468.6691785266	18756.4852381715	16609.4422733303
EC:4.1.2.41	0	8.63799863600111E-50	475.697989111819	281.028406190495
EC:4.1.2.43	411.88098379066	236.350194515187	258.905152511084	222.001628390236
EC:4.1.2.44	0	3.56506292385205E-53	70.2326858002196	67.95
EC:4.1.2.45	41.4246721279038	817.806027147889	0	317.478737187859
EC:4.1.2.5	10297.5797264802	13605.7536322696	11425.9399533421	12210.6718143776
EC:4.1.2.50	8562.83346930328	10259.1671756033	9939.29165639595	9953.11115522133
EC:4.1.2.51	0	2.88903137559363E-127	0	4.1398490171792E-127
EC:4.1.2.52	989.682009622922	953.448373355099	1456.86868501703	1361.7048673589
EC:4.1.2.53	0.006053778867082	0.106979642996964	0.007780718920074	96.1532969055513
EC:4.1.2.55	0	1.94709141853657E-56	0	2.79009240380104E-56
EC:4.1.2.56	0	1.46284603201053E-55	0	2.09619104834364E-55
EC:4.1.2.57	0	1.09822061426097E-10	0	96.0000000001574
EC:4.1.2.8	0	4.07452629753985E-137	0	5.83860868761772E-137
EC:4.1.2.9	80.2891745311925	294.171948890799	7.47284607758585	0.040966634905394
EC:4.1.3.1	10875.0040551812	12562.1731596436	12791.4067691309	12361.4265975993
EC:4.1.3.16	0	7.81630511356774E-53	0	1.12004055462109E-52
EC:4.1.3.17	0.039453099388011	0.087209565767077	204.050707745295	0.124967294637039
EC:4.1.3.24	0	8.59969504101131E-50	0	1.23229672631216E-49
EC:4.1.3.25	66.28	1308.66013198597	0	672.122159020058
EC:4.1.3.27	20497.1325393242	24590.5866760749	23776.0407780279	23689.4083325195
EC:4.1.3.3	3375.58279702972	3261.6812143975	3542.55468264171	3915.20848870706
EC:4.1.3.30	10727.8107375507	12542.7868049455	12721.3284339956	12336.033904623
EC:4.1.3.34	2394.06093696483	2273.55843238026	2779.76927048892	3164.71988831245
EC:4.1.3.36	9998.09	10407.2519912959	11301.308994594	9849.17346805911
EC:4.1.3.38	10128.4623119776	11755.5969570678	11797.052155438	11547.638098472
EC:4.1.3.39	52.2387950884075	818.048836308394	24.3698360300388	321.554279311844
EC:4.1.3.4	7325.95996211718	9871.98939051171	8928.91036406557	9148.15589524835
EC:4.1.3.40	10551.4245009006	12554.5005322903	12379.7408309314	11204.7886603211
EC:4.1.3.41	810.614498384864	829.865730480347	905.165319293807	779.341973874343
EC:4.1.3.42	20714.7425768226	24763.3118411842	23789.9857084221	23049.8774705427
EC:4.1.3.43	46.7055452000386	817.806027147889	0.036234173070945	317.478737187859
EC:4.1.3.44	0	1.06839905665718E-55	0	1.53096668385908E-55
EC:4.1.3.45	0	1.20701269670925E-50	0	1.72959365149431E-50
EC:4.1.3.46	0	8.60106608289546E-55	0	1.23249319030506E-54
EC:4.1.99.1	8983.36437784945	9581.64661247844	10397.7971041454	9207.65275856305
EC:4.1.99.11	0	1.99979922390482E-122	0	2.86562026344797E-122
EC:4.1.99.12	21052.8835299909	23543.4790009761	24660.4391446211	23927.6917191619
EC:4.1.99.14	823.879435819278	1087.94	30.0126187653034	448.790895163098
EC:4.1.99.16	0	2.45675779709646E-53	0	3.52042087104965E-53
EC:4.1.99.17	11166.0034100219	12864.4919718571	12797.0332954604	12617.0787338166
EC:4.1.99.18	21686.8643052842	26168.8726534158	24211.4948328062	24345.9858809272
EC:4.1.99.19	10925.4660794556	11830.3305295655	12234.1339271527	11129.3786577687
EC:4.1.99.2	17.8949583946765	2.83409749256889E-13	5.34667542556665	3.36523350103704
EC:4.1.99.20	0	9.11265158833484E-41	0	1.30580103908054E-40
EC:4.1.99.3	29094.2892060573	32529.0705276248	34348.4845328639	31034.1323545101
EC:4.1.99.5	0	5.30680625435651E-54	0	7.60440916012689E-54
EC:4.2.1.1	25668.9049707374	31661.0565749153	30627.2415597506	29708.3837678245
EC:4.2.1.10	9687.03836860962	11468.1829368351	11803.6366780692	12439.7130426758
EC:4.2.1.100	0	2.62509249406834E-53	0	3.76163674558234E-53
EC:4.2.1.101	0	8.63799863600111E-50	475.697989111819	281.028406190495
EC:4.2.1.103	12.9595117798078	1.19489949808619E-10	48.6816811491399	71.852044569152
EC:4.2.1.104	66.28	1309.23167794013	68.9225269992198	576.968460818709
EC:4.2.1.106	0	1.07360531228927E-54	0	1.53842700860452E-54
EC:4.2.1.107	0	4.20109656046374E-51	0	6.01997805002622E-51
EC:4.2.1.108	8038.61482310301	9955.7923460846	9392.86633255097	8664.46464481278
EC:4.2.1.109	365.004228640073	835.824831648719	32.5494505412898	378.098854869404
EC:4.2.1.11	13033.6713767235	15201.6229509432	14508.023119496	14587.4166537022
EC:4.2.1.113	10009.0548892192	10416.0800201279	11293.7489119862	9856.63772116737
EC:4.2.1.114	0	3.41918842246361E-53	0	4.8995396692007E-53
EC:4.2.1.115	14.553684548895	1.52770431789058E-40	0	3.90204456898074
EC:4.2.1.116	891.875544686219	913.056640194935	1015.42457376449	857.468067535111
EC:4.2.1.118	0.019556512168894	9	612.725842744	1123.74022162408
EC:4.2.1.119	0	2.8627567265841	0	2.82802524128319E-48
EC:4.2.1.12	9725.82909426268	12942.6847322581	11791.1807534098	11943.7039475528
EC:4.2.1.120	24.2931239658537	9.21639046867031E-53	0.059569763232758	3.96846525306369
EC:4.2.1.126	13343.5082557061	14108.6538868818	15023.5582146299	13484.7656718266
EC:4.2.1.129	0	6.64758451773302E-51	0	9.52568271318894E-51
