# Constructed from biom file
#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
NAGLIPASYN-PWY	12568.845394071852	14806.827419533927	15163.466892841523	14474.428020294241
NONMEVIPP-PWY	11116.625647839734	12990.662583990224	12568.805370731583	12714.606069488642
NONOXIPENT-PWY	19112.911324118842	21837.782054468982	21366.085355852636	21875.916996119464
OANTIGEN-PWY	10225.67475200243	12475.64664263512	11317.879833146286	11674.32708828306
ORNARGDEG-PWY	0.0	46.62329018799707	0.0	422.00456214154235
ORNDEG-PWY	0.0	111.37400168933114	0.0	2118.187117290843
P101-PWY	14138.47378962434	16973.17437971246	16483.087553447665	15189.297890682537
P105-PWY	13223.750231916034	15015.817088827273	15332.255565998514	15193.95399509425
P108-PWY	885.3374780168879	88.6632972507019	8.372867798277822	53.698231079869835
P122-PWY	277.01737257592663	986.3717407485003	26.12319698995543	0.14338227993537167
P124-PWY	306.53133407341664	1079.5760606684278	29.69057026283253	0.163863603206194
P125-PWY	490.61534037663546	715.2661755620957	890.2885088520928	1837.3484632182538
P161-PWY	17802.77498968951	21224.024368553557	19595.07023528939	20085.199790579718
P162-PWY	123.37232185677537	0.0	0.34283786079239903	19.16486537664352
P163-PWY	58.918118176997766	0.0	54.33773787075502	334.06428055063685
P164-PWY	2772.9053530607825	0.0	729.9813038208947	7127.053175335899
P184-PWY	0.0	0.0	115.87533684937372	0.0
P221-PWY	1551.128905519575	2472.2206701501837	2631.9255066498763	4405.144408386632
P23-PWY	3559.1873442463416	3611.4135986150964	870.4001581064775	4153.9309914854775
P261-PWY	0.0	0.0	1.5816215793599908	0.0
P281-PWY	0.0	18.629295444096986	583.9573463959788	374.9479330013394
P381-PWY	0.0	73.14159501703337	120.2033438694609	0.0
P4-PWY	13219.132194983044	15173.739943290524	15143.163658438909	15044.325900226213
P42-PWY	3005.1041043648397	5087.620863208727	816.047795736274	3368.333842662472
P441-PWY	7483.711418640887	8065.681045756286	8231.512691388682	8038.852009270686
P461-PWY	3449.4088418988385	3173.6878244315717	3392.813806429039	3304.9225341282454
P562-PWY	3531.8670563921055	3449.8795387890987	3709.140835800789	3276.9515150947263
PANTO-PWY	11278.052639992278	13225.472303287745	12600.337488821737	12380.60851817226
PANTOSYN-PWY	10774.755435957366	12600.026669185436	12174.461828732554	12154.88004935656
PENTOSE-P-PWY	15381.97666115845	17815.716228342502	17278.60594363558	17276.438328812223
PEPTIDOGLYCANSYN-PWY	11750.21282268221	13714.513396071263	13278.451061853359	13500.31476098226
PHOSLIPSYN-PWY	14771.890698426652	17658.68793689365	16720.265778718174	16819.056743997713
POLYAMINSYN3-PWY	982.5514165776231	954.9056534238446	188.73352216317093	737.275927226041
POLYAMSYN-PWY	1567.3706979893968	2405.320279336813	367.6681543357051	1488.978243375829
POLYISOPRENSYN-PWY	10402.981502702438	12841.174443538684	11962.52763194275	12350.28951878161
PPGPPMET-PWY	12232.29942944327	14418.884284408616	13593.66640336069	13157.68359875067
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	1166.3499787243973	3005.3216520511655	2522.827238328847	4387.4007601071835
PRPP-PWY	12545.313154602618	14598.31974037496	14248.034077116889	14281.168862726317
PWY-1269	10583.680999835655	12584.631122986812	12800.20074388577	12401.722380202602
PWY-1361	0.0	0.0	48.36467247446635	0.0
PWY-1541	1549.1214592466513	1592.5682777940267	1844.4009405308223	1704.956210472266
PWY-1622	0.0	22.160051235652958	0.0	1.5699999999999996e-13
PWY-181	3894.9891869368657	5551.457410525515	673.7723955088439	2820.701855260667
PWY-1861	1926.0713870942982	930.4217679941507	997.3385130810012	1784.0437262567336
PWY-2941	1248.0165361209238	0.0	53.72317066442324	0.0
PWY-2942	15604.024027285783	17903.85194495153	17696.30012262992	18033.205221229393
PWY-3001	14917.811853500503	17170.09866803882	17090.042708730074	17319.93605166111
PWY-3661	0.0	42.23914659759866	0.0	0.0
PWY-3781	14969.386989378983	16108.820988611655	17908.253133100498	21494.173846006557
PWY-3941	2.841999999999964e-11	0.0	3.6527249999999565e-11	0.0
PWY-4361	379.77448985458267	0.0	0.8934162700984688	0.0
